"tick";"AliveMemes";"MemesIn10";"MemesIn50";"MemesIn80";"MemesInGrp0";"MemesInGrp1";"MemesInGrp2";"MemesInGrp3"
0.0;1286.0;0.0;0.0;0.0;14.0;14.0;9.0;1249.0
0.0;1286.0;0.0;0.0;0.0;14.0;14.0;9.0;1249.0
10.0;1297.0;0.0;0.0;0.0;14.0;15.0;19.0;1249.0
20.0;1417.0;0.0;0.0;0.0;40.0;56.0;72.0;1249.0
30.0;1538.0;0.0;0.0;0.0;76.0;119.0;94.0;1249.0
40.0;1762.0;0.0;0.0;0.0;163.0;176.0;174.0;1249.0
50.0;2000.0;0.0;0.0;0.0;241.0;258.0;252.0;1249.0
60.0;2237.0;0.0;0.0;0.0;301.0;370.0;317.0;1249.0
70.0;2504.0;0.0;0.0;0.0;422.0;457.0;376.0;1249.0
80.0;2778.0;0.0;0.0;0.0;497.0;519.0;513.0;1249.0
90.0;3043.0;0.0;0.0;0.0;611.0;620.0;563.0;1249.0
100.0;3290.0;0.0;0.0;0.0;685.0;712.0;644.0;1249.0
110.0;3494.0;0.0;0.0;0.0;754.0;775.0;716.0;1249.0
120.0;3694.0;0.0;0.0;0.0;857.0;826.0;762.0;1249.0
130.0;3883.0;0.0;0.0;0.0;917.0;859.0;858.0;1249.0
140.0;4048.0;0.0;0.0;0.0;971.0;907.0;920.0;1250.0
150.0;4181.0;0.0;0.0;0.0;1014.0;929.0;988.0;1250.0
160.0;4311.0;0.0;0.0;0.0;1036.0;996.0;1029.0;1250.0
170.0;4402.0;0.0;0.0;0.0;1066.0;1041.0;1045.0;1250.0
180.0;4499.0;0.0;0.0;0.0;1088.0;1081.0;1080.0;1250.0
190.0;4574.0;0.0;0.0;0.0;1111.0;1107.0;1106.0;1250.0
200.0;4641.0;0.0;0.0;0.0;1127.0;1120.0;1144.0;1250.0
210.0;4700.0;0.0;0.0;0.0;1158.0;1131.0;1161.0;1250.0
